file	order	id	clause	nodes
Electronic Shopping	narodyska	0	338	3
Electronic Shopping	narodyska	1	346	5
Electronic Shopping	narodyska	2	348	7
Electronic Shopping	narodyska	3	345	9
Electronic Shopping	narodyska	4	344	10
Electronic Shopping	narodyska	5	343	12
Electronic Shopping	narodyska	6	342	17
Electronic Shopping	narodyska	7	354	19
Electronic Shopping	narodyska	8	356	21
Electronic Shopping	narodyska	9	353	23
Electronic Shopping	narodyska	10	352	24
Electronic Shopping	narodyska	11	351	25
Electronic Shopping	narodyska	12	350	30
Electronic Shopping	narodyska	13	341	31
Electronic Shopping	narodyska	14	340	41
Electronic Shopping	narodyska	15	337	43
Electronic Shopping	narodyska	16	336	51
Electronic Shopping	narodyska	17	335	53
Electronic Shopping	narodyska	18	334	69
Electronic Shopping	narodyska	19	364	71
Electronic Shopping	narodyska	20	366	73
Electronic Shopping	narodyska	21	368	75
Electronic Shopping	narodyska	22	363	78
Electronic Shopping	narodyska	23	362	79
Electronic Shopping	narodyska	24	361	81
Electronic Shopping	narodyska	25	360	88
Electronic Shopping	narodyska	26	372	90
Electronic Shopping	narodyska	27	376	92
Electronic Shopping	narodyska	28	375	94
Electronic Shopping	narodyska	29	374	96
Electronic Shopping	narodyska	30	380	98
Electronic Shopping	narodyska	31	379	100
Electronic Shopping	narodyska	32	378	102
Electronic Shopping	narodyska	33	384	104
Electronic Shopping	narodyska	34	386	106
Electronic Shopping	narodyska	35	388	108
Electronic Shopping	narodyska	36	390	110
Electronic Shopping	narodyska	37	383	112
Electronic Shopping	narodyska	38	382	119
Electronic Shopping	narodyska	39	396	121
Electronic Shopping	narodyska	40	398	123
Electronic Shopping	narodyska	41	400	125
Electronic Shopping	narodyska	42	402	127
Electronic Shopping	narodyska	43	395	131
Electronic Shopping	narodyska	44	394	132
Electronic Shopping	narodyska	45	393	133
Electronic Shopping	narodyska	46	392	138
Electronic Shopping	narodyska	47	404	140
Electronic Shopping	narodyska	48	410	142
Electronic Shopping	narodyska	49	412	144
Electronic Shopping	narodyska	50	414	146
Electronic Shopping	narodyska	51	409	149
Electronic Shopping	narodyska	52	408	150
Electronic Shopping	narodyska	53	407	151
Electronic Shopping	narodyska	54	406	155
Electronic Shopping	narodyska	55	416	157
Electronic Shopping	narodyska	56	418	159
Electronic Shopping	narodyska	57	420	161
Electronic Shopping	narodyska	58	371	162
Electronic Shopping	narodyska	59	370	211
Electronic Shopping	narodyska	60	422	212
Electronic Shopping	narodyska	61	359	213
Electronic Shopping	narodyska	62	358	272
Electronic Shopping	narodyska	63	432	274
Electronic Shopping	narodyska	64	434	276
Electronic Shopping	narodyska	65	436	278
Electronic Shopping	narodyska	66	431	281
Electronic Shopping	narodyska	67	430	282
Electronic Shopping	narodyska	68	429	284
Electronic Shopping	narodyska	69	428	287
Electronic Shopping	narodyska	70	438	289
Electronic Shopping	narodyska	71	440	291
Electronic Shopping	narodyska	72	442	293
Electronic Shopping	narodyska	73	444	295
Electronic Shopping	narodyska	74	450	297
Electronic Shopping	narodyska	75	460	299
Electronic Shopping	narodyska	76	462	301
Electronic Shopping	narodyska	77	464	303
Electronic Shopping	narodyska	78	466	305
Electronic Shopping	narodyska	79	468	307
Electronic Shopping	narodyska	80	470	309
Electronic Shopping	narodyska	81	459	315
Electronic Shopping	narodyska	82	458	316
Electronic Shopping	narodyska	83	457	318
Electronic Shopping	narodyska	84	456	325
Electronic Shopping	narodyska	85	472	327
Electronic Shopping	narodyska	86	474	329
Electronic Shopping	narodyska	87	455	332
Electronic Shopping	narodyska	88	454	340
Electronic Shopping	narodyska	89	453	342
Electronic Shopping	narodyska	90	452	358
Electronic Shopping	narodyska	91	449	360
Electronic Shopping	narodyska	92	448	373
Electronic Shopping	narodyska	93	447	374
Electronic Shopping	narodyska	94	446	391
Electronic Shopping	narodyska	95	478	393
Electronic Shopping	narodyska	96	477	395
Electronic Shopping	narodyska	97	476	397
Electronic Shopping	narodyska	98	480	399
Electronic Shopping	narodyska	99	482	401
Electronic Shopping	narodyska	100	484	403
Electronic Shopping	narodyska	101	486	405
Electronic Shopping	narodyska	102	427	407
Electronic Shopping	narodyska	103	426	462
Electronic Shopping	narodyska	104	494	464
Electronic Shopping	narodyska	105	496	466
Electronic Shopping	narodyska	106	493	468
Electronic Shopping	narodyska	107	492	470
Electronic Shopping	narodyska	108	491	472
Electronic Shopping	narodyska	109	490	479
Electronic Shopping	narodyska	110	489	480
Electronic Shopping	narodyska	111	488	486
Electronic Shopping	narodyska	112	498	488
Electronic Shopping	narodyska	113	504	490
Electronic Shopping	narodyska	114	506	492
Electronic Shopping	narodyska	115	503	494
Electronic Shopping	narodyska	116	502	495
Electronic Shopping	narodyska	117	501	496
Electronic Shopping	narodyska	118	500	499
Electronic Shopping	narodyska	119	510	501
Electronic Shopping	narodyska	120	512	503
Electronic Shopping	narodyska	121	520	505
Electronic Shopping	narodyska	122	522	507
Electronic Shopping	narodyska	123	524	509
Electronic Shopping	narodyska	124	526	511
Electronic Shopping	narodyska	125	528	513
Electronic Shopping	narodyska	126	519	518
Electronic Shopping	narodyska	127	518	519
Electronic Shopping	narodyska	128	517	521
Electronic Shopping	narodyska	129	516	527
Electronic Shopping	narodyska	130	515	528
Electronic Shopping	narodyska	131	514	540
Electronic Shopping	narodyska	132	509	541
Electronic Shopping	narodyska	133	508	559
Electronic Shopping	narodyska	134	532	561
Electronic Shopping	narodyska	135	534	563
Electronic Shopping	narodyska	136	531	564
Electronic Shopping	narodyska	137	530	566
Electronic Shopping	narodyska	138	425	567
Electronic Shopping	narodyska	139	424	810
Electronic Shopping	narodyska	140	538	812
Electronic Shopping	narodyska	141	540	814
Electronic Shopping	narodyska	142	542	816
Electronic Shopping	narodyska	143	548	818
Electronic Shopping	narodyska	144	550	820
Electronic Shopping	narodyska	145	552	822
Electronic Shopping	narodyska	146	547	825
Electronic Shopping	narodyska	147	546	826
Electronic Shopping	narodyska	148	545	828
Electronic Shopping	narodyska	149	544	832
Electronic Shopping	narodyska	150	537	833
Electronic Shopping	narodyska	151	536	844
Electronic Shopping	narodyska	152	558	846
Electronic Shopping	narodyska	153	560	848
